institution_id	esi	aas_publications	total_aas	tw_publications	total_tw	wp_publications	total_wp	nw_publications	total_nw	po_publications	total_po
25	Geosciences	382	8138	338	5416	63	245	58	539	4	6
31	Molecular Biology & Genetics	245	8069	241	4030	7	14	30	828	0	0
48	Psychiatry/Psychology	793	7998	755	7309	18	25	88	431	13	18
48	Space Sciences	639	7933	605	4400	23	78	44	558	1	1
8	Economics & Business	323	7928	304	11133	18	28	39	228	31	51
48	Microbiology	624	7927	608	8722	27	45	63	352	7	9
38	Geosciences	310	7858	280	5469	68	164	68	497	9	12
97	Clinical Medicine	425	7846	412	9233	12	13	49	327	8	12
150	Global	317	7842	306	9559	7	24	49	464	10	16
81	Clinical Medicine	446	7809	433	9540	10	18	76	338	10	11
22	Engineering	1463	7780	1379	6713	24	41	93	396	6	8
76	Clinical Medicine	493	7723	489	12728	1	3	52	195	5	8
131	Global	331	7707	316	7354	6	6	57	519	5	6
153	Global	522	7661	507	9699	7	12	84	351	11	16
107	Immunology	430	7624	421	8794	11	16	58	365	19	35
32	Molecular Biology & Genetics	172	7616	171	6836	14	46	42	495	0	0
19	Plant & Animal Science	273	7551	258	6142	34	87	53	502	3	7
116	Global	338	7541	328	5897	6	10	54	617	14	20
22	Neuroscience & Behavior	532	7493	508	7608	7	13	136	365	5	10
129	Clinical Medicine	355	7439	344	8356	8	12	49	422	7	8
22	Psychiatry/Psychology	580	7403	562	6224	10	18	80	415	9	13
14	Microbiology	256	7372	253	9284	20	34	60	318	3	4
101	Global	326	7363	314	9497	7	10	50	301	10	16
37	Environment/Ecology	655	7306	609	7465	13	16	88	323	18	20
8	Engineering	728	7284	677	6712	22	29	64	395	14	21
48	Molecular Biology & Genetics	331	7272	324	6085	14	16	58	468	0	0
28	Clinical Medicine	309	7258	300	7207	6	7	43	391	17	55
116	Clinical Medicine	316	7212	306	5434	6	10	51	605	14	20
94	Arts & Humanities	18	7202	18	2494	6	78	12	838	2	2
40	Social Sciences, General	601	7139	557	8649	20	29	47	173	14	17
48	Social Sciences, General	583	7138	553	8399	21	28	43	196	16	21
37	Microbiology	528	7104	519	9847	15	20	57	192	12	28
35	Molecular Biology & Genetics	370	7084	358	7034	13	50	73	407	1	2
35	Chemistry	1252	7065	1197	7199	31	44	109	327	2	2
109	Global	397	7062	388	10915	4	7	43	160	9	15
121	Clinical Medicine	472	7029	464	8749	8	11	65	327	8	13
11	Clinical Medicine	611	7028	595	8881	6	6	64	266	7	13
4	Engineering	2192	6997	2114	7058	40	47	62	219	27	33
58	Social Sciences, General	307	6977	301	9570	14	21	44	179	12	19
47	Engineering	1845	6969	1773	6189	28	33	65	275	17	21
44	Environment/Ecology	610	6940	580	6940	11	16	40	323	34	67
35	Pharmacology & Toxicology	663	6913	636	7138	9	16	93	342	19	27
112	Global	584	6878	549	8343	13	23	87	319	12	16
19	Geosciences	246	6872	229	5631	16	32	45	394	10	16
48	Physics	1372	6870	1342	8234	24	39	61	205	2	3
91	Clinical Medicine	415	6865	404	10084	4	4	62	229	10	18
80	Global	683	6848	663	9417	7	14	80	212	16	25
27	Neuroscience & Behavior	209	6841	201	11457	8	13	60	236	4	4
14	Economics & Business	263	6810	246	7357	13	30	36	418	47	95
25	Physics	621	6725	606	7882	24	48	50	312	1	1
40	Neuroscience & Behavior	380	6691	364	5278	12	16	72	432	3	6
131	Clinical Medicine	232	6656	224	6420	4	4	42	450	4	5
25	Biology & Biochemistry	433	6622	412	6368	20	65	66	546	3	6
120	Global	474	6604	455	8542	4	5	62	276	14	19
31	Geosciences	172	6601	168	6594	12	37	23	454	8	14
64	Global	600	6563	584	8400	8	12	80	238	7	9
109	Clinical Medicine	346	6563	339	10287	4	7	37	143	8	13
6	Space Sciences	531	6509	486	2762	46	109	35	409	0	0
25	Chemistry	1069	6487	1020	6321	17	26	80	328	2	2
37	Neuroscience & Behavior	432	6461	416	6417	8	9	111	357	7	11
8	Chemistry	843	6460	816	5431	15	21	81	387	1	2
27	Molecular Biology & Genetics	281	6458	269	6392	22	83	51	332	5	5
8	Pharmacology & Toxicology	634	6417	618	5818	28	55	111	356	12	13
150	Clinical Medicine	252	6347	242	8729	6	11	34	228	9	15
75	Clinical Medicine	541	6336	527	7705	7	9	74	249	10	12
27	Chemistry	902	6304	882	7814	13	27	59	209	3	3
87	Global	480	6288	464	12515	8	10	56	146	10	20
38	Environment/Ecology	270	6251	258	4041	11	31	37	480	11	14
124	Global	399	6230	389	9112	9	10	55	157	16	20
35	Agricultural Sciences	519	6228	484	5434	11	20	104	348	8	9
40	Molecular Biology & Genetics	248	6201	237	7006	6	18	40	310	1	1
47	Clinical Medicine	425	6173	414	11253	4	6	45	241	9	11
66	Global	401	6155	391	7862	7	8	46	239	7	10
103	Molecular Biology & Genetics	250	6119	250	5633	14	21	55	442	4	6
2	Global	698	6054	650	3669	18	40	41	446	21	24
30	Environment/Ecology	200	6023	180	4942	12	34	29	375	11	22
56	Environment/Ecology	294	6019	280	8088	8	9	41	183	14	16
130	Immunology	409	6012	402	6775	11	13	55	278	13	18
43	Molecular Biology & Genetics	115	5954	110	3148	10	34	19	559	0	0
126	Global	530	5952	509	9622	8	16	27	100	14	27
34	Environment/Ecology	458	5915	410	3549	11	15	74	461	20	22
139	Clinical Medicine	476	5907	459	7464	7	8	66	220	9	15
60	Biology & Biochemistry	301	5905	292	5653	12	28	54	381	0	0
35	Social Sciences, General	610	5891	573	7192	13	29	47	140	21	24
14	Pharmacology & Toxicology	212	5886	207	3829	8	15	49	505	8	12
37	Immunology	460	5876	452	8725	9	13	52	126	12	28
40	Chemistry	857	5837	821	5450	10	18	67	303	3	3
49	Clinical Medicine	511	5789	496	7953	7	7	52	167	16	20
53	Arts & Humanities	57	5782	51	2605	11	64	19	602	1	1
1	Clinical Medicine	443	5761	419	5812	6	13	44	293	10	13
21	Clinical Medicine	285	5748	267	3719	3	5	48	516	4	5
6	Immunology	452	5720	438	11038	11	15	53	242	4	4
25	Psychiatry/Psychology	370	5621	347	5504	9	11	54	281	7	14
9	Economics & Business	339	5589	314	5878	7	8	34	161	33	47
22	Arts & Humanities	163	5564	143	4446	15	43	25	379	0	0
153	Clinical Medicine	394	5550	381	7160	6	11	67	233	9	14
43	Environment/Ecology	309	5537	296	3798	6	20	32	395	19	41
29	Environment/Ecology	377	5503	340	4171	14	25	57	347	18	45
59	Agricultural Sciences	225	5471	219	4059	3	4	54	411	12	15
154	Clinical Medicine	196	5466	192	4574	5	7	36	392	4	7
145	Global	341	5460	332	5345	6	10	61	306	1	1
64	Clinical Medicine	482	5456	470	7328	5	7	66	178	6	8
132	Global	374	5433	373	7688	4	13	41	143	7	8
148	Immunology	421	5428	413	6483	8	11	53	218	14	38
74	Global	397	5414	385	7052	10	15	63	188	9	12
50	Neuroscience & Behavior	55	5384	53	3377	2	2	15	497	3	4
126	Clinical Medicine	475	5378	454	9068	8	16	19	71	14	27
56	Clinical Medicine	324	5360	314	7777	4	6	33	95	1	1
25	Agricultural Sciences	612	5333	574	5272	10	14	60	254	13	26
124	Clinical Medicine	298	5306	290	8063	5	5	36	122	13	17
87	Clinical Medicine	351	5305	337	11226	6	8	42	121	9	19
40	Pharmacology & Toxicology	434	5304	416	2987	10	16	48	493	9	12
60	Immunology	223	5304	215	10845	2	5	33	245	2	2
46	Global	446	5282	422	5885	13	16	69	235	10	11
16	Clinical Medicine	529	5232	504	5805	9	19	73	240	5	10
12	Plant & Animal Science	395	5230	381	7386	21	48	35	108	12	19
32	Plant & Animal Science	312	5195	299	5296	20	41	37	268	9	11
34	Agricultural Sciences	566	5176	518	3929	4	4	82	332	15	18
120	Clinical Medicine	345	5176	331	7398	1	1	38	174	12	17
130	Microbiology	322	5157	315	6591	10	14	50	178	15	19
42	Neuroscience & Behavior	228	5148	219	5433	6	9	55	273	1	1
83	Neuroscience & Behavior	260	5144	247	3904	12	20	110	357	2	2
137	Global	459	5140	448	7385	3	3	49	130	6	7
9	Engineering	727	5136	687	4637	13	13	64	239	19	34
111	Neuroscience & Behavior	259	5134	247	4678	6	9	83	468	4	8
37	Plant & Animal Science	469	5130	446	5628	20	24	42	221	4	7
35	Engineering	723	5125	682	4333	12	21	66	281	8	9
10	Clinical Medicine	425	5113	397	4472	10	14	71	291	11	15
32	Biology & Biochemistry	282	5111	275	5893	12	35	30	223	2	2
38	Biology & Biochemistry	296	5106	279	5043	13	57	41	311	0	0
34	Plant & Animal Science	625	5103	595	5138	16	29	63	218	4	4
8	Agricultural Sciences	468	5092	454	4640	8	9	42	306	8	9
14	Arts & Humanities	93	5091	86	2648	10	37	19	472	1	1
6	Engineering	602	5087	549	3484	11	15	75	317	5	7
4	Immunology	34	5046	33	6632	1	1	8	207	0	0
99	Molecular Biology & Genetics	169	5043	165	6302	5	7	33	250	0	0
19	Arts & Humanities	64	5021	60	2908	11	56	19	458	1	1
93	Global	109	5015	104	6170	5	5	23	218	0	0
52	Clinical Medicine	350	5011	335	4796	14	19	48	321	10	12
29	Plant & Animal Science	382	5002	357	7024	22	43	39	211	11	30
31	Agricultural Sciences	333	4997	309	4704	9	13	56	297	6	8
36	Biology & Biochemistry	224	4988	218	4598	10	20	37	291	2	2
61	Global	373	4987	359	5982	6	10	41	156	9	14
7	Clinical Medicine	638	4986	610	6716	8	9	33	137	20	23
38	Molecular Biology & Genetics	89	4980	88	3715	4	35	28	404	0	0
56	Biology & Biochemistry	187	4979	183	6729	9	15	43	212	0	0
15	Biology & Biochemistry	132	4962	130	8168	1	6	22	74	1	1
36	Plant & Animal Science	511	4954	485	5627	13	26	52	184	5	5
4	Clinical Medicine	329	4938	323	6178	4	4	34	208	6	8
99	Immunology	308	4921	303	5672	4	4	45	222	7	8
1	Arts & Humanities	31	4908	25	2119	7	49	7	502	1	1
31	Environment/Ecology	503	4896	483	5389	10	15	46	175	10	17
111	Immunology	201	4885	201	5027	5	6	34	283	5	5
