ods	id	title	year	type	journal	esi	influscore	news	policy	twitter	wikipedia	authors
1	4273	Long run educational and spillover effects of unconditional cash transfers: Evidence from South Africa	2020	Article	ECONOMICS & HUMAN BIOLOGY	Clinical Medicine	41	3	1	19	0	2
1	28251	Novel health systems service design checklist to improve healthcare access for marginalised, underserved communities in Europe	2020	Article	BMJ OPEN	Clinical Medicine	39	0	0	70	0	7
1	70157	European public perceptions of homelessness: A knowledge, attitudes and practices survey	2019	Article	PLOS ONE	Clinical Medicine	36	4	0	11	0	13
1	70158	The effectiveness of treatment for Severe Acute Malnutrition (SAM) delivered by community health workers compared to a traditional facility based model	2018	Article	BMC HEALTH SERVICES RESEARCH	Clinical Medicine	31	1	0	30	0	6
1	70159	Global multidimensional poverty and COVID-19: A decade of progress at risk?	2021	Article	SOCIAL SCIENCE & MEDICINE	Clinical Medicine	26	0	0	45	1	4
1	70160	The role of parental social class, education and unemployment on child cognitive development	2020	Article	GACETA SANITARIA	Clinical Medicine	25	1	0	1	0	6
1	70161	Child health and the possibilities for childcare in a context of poverty and food insecurity: The narratives of parents attending a self-managed foodbank in Spain	2019	Article	HEALTH & SOCIAL CARE IN THE COMMUNITY	Clinical Medicine	24	1	0	25	0	5
1	70162	Knowledge, attitudes, and practices about homelessness and willingness-to-pay for housing-first across 8 European countries: a survey protocol	2018	Article	ARCHIVES OF PUBLIC HEALTH	Clinical Medicine	23	0	0	18	1	13
1	70163	On measuring the sources of changes in poverty using the Shapley method. An application to Europe	2020	Article	FUZZY SETS AND SYSTEMS	Computer Science	1	0	0	3	0	2
1	4052	Augmented human development in the age of globalization(dagger)	2021	Article	ECONOMIC HISTORY REVIEW	Economics & Business	51	1	0	69	1	1
1	4273	Long run educational and spillover effects of unconditional cash transfers: Evidence from South Africa	2020	Article	ECONOMICS & HUMAN BIOLOGY	Economics & Business	41	3	1	19	0	2
1	70164	Measuring and Changing Control: Women's Empowerment and Targeted Transfers	2018	Article	ECONOMIC JOURNAL	Economics & Business	32	0	3	20	0	4
1	62095	Welfare Resilience at the Onset of the COVID-19 Pandemic in a Selection of European Countries: Impact on Public Finance and Household Incomes	2021	Article	REVIEW OF INCOME AND WEALTH	Economics & Business	32	0	0	43	0	8
1	65368	Where are the missing girls? Gender discrimination in 19th-century Spain	2017	Article	EXPLORATIONS IN ECONOMIC HISTORY	Economics & Business	31	0	0	38	0	2
1	70148	Income elasticities for food, calories and nutrients across Africa: A meta-analysis	2018	Article	FOOD POLICY	Economics & Business	29	0	2	24	0	6
1	38894	The distribution of wealth in Spain and the USA: the role of socioeconomic factors	2021	Article	SERIES-JOURNAL OF THE SPANISH ECONOMIC ASSOCIATION	Economics & Business	25	0	0	39	0	2
1	64671	Neonatal discrimination and excess female mortality in childhood in Spain in the first half of the twentieth century	2021	Article	CLIOMETRICA	Economics & Business	21	1	0	2	0	1
1	46959	Sex selection and health at birth among Indian immigrants	2018	Article	ECONOMICS & HUMAN BIOLOGY	Economics & Business	19	0	0	10	0	1
1	70165	The impact of COVID-19 on households ' income in the EU	2021	Article	JOURNAL OF ECONOMIC INEQUALITY	Economics & Business	18	0	0	17	0	6
1	20105	Health and environmental impacts of replacing kerosene-based lighting with renewable electricity in East Africa	2021	Article	ENERGY FOR SUSTAINABLE DEVELOPMENT	Engineering	8	0	0	10	0	7
1	70166	Exergy Replacement Cost of Fossil Fuels: Closing the Carbon Cycle	2017	Article	ENERGIES	Engineering	3	0	0	2	0	4
1	56482	Joint Optimal Planning of Electricity and Modern Energy Cooking Services Access in Nyagatare	2021	Article	ENERGIES	Engineering	1	0	0	2	0	6
1	70167	Is There Empirical Evidence on How the Implementation of a Universal Basic Income (UBI) Affects Labour Supply? A Systematic Review	2020	Review	SUSTAINABILITY	Environment/Ecology	39	1	0	154	0	4
1	70168	The Association of Interpersonal Relationships and Social Services with the Self-Rated Health of Spanish Homelessness	2021	Article	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	Environment/Ecology	21	3	0	0	0	3
1	38010	The role of crop diversity in climate change adaptation: insights from local observations to inform decision making in agriculture	2021	Article	CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY	Environment/Ecology	14	0	0	3	0	19
1	70169	\"What is in it for me?\" A people-centered account of household energy transition co-benefits in Poland	2021	Article	ENERGY RESEARCH & SOCIAL SCIENCE	Environment/Ecology	9	0	0	12	0	2
1	70170	The Sustainability of Public Social Services: A Qualitative Study	2020	Article	SUSTAINABILITY	Environment/Ecology	8	0	0	15	0	4
1	70171	Turning rules into practices: An inside-out approach to understanding the implementation of sustainability standards	2021	Article	ECOLOGICAL ECONOMICS	Environment/Ecology	8	0	0	11	0	1
1	20105	Health and environmental impacts of replacing kerosene-based lighting with renewable electricity in East Africa	2021	Article	ENERGY FOR SUSTAINABLE DEVELOPMENT	Environment/Ecology	8	0	0	10	0	7
1	70155	Drivers of sex ratio bias in the eastern bongo: lower inbreeding increases the probability of being born male	2019	Article	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Environment/Ecology	7	0	0	16	0	3
1	70172	The Role of Women in a Family Economy. A Bibliometric Analysis in Contexts of Poverty	2020	Article	SUSTAINABILITY	Environment/Ecology	6	0	0	7	0	4
1	70173	Which cooking and heating fuels are more likely to be used in energy-poor households? Exploring energy and fuel poverty in Argentina	2021	Article	ENERGY RESEARCH & SOCIAL SCIENCE	Environment/Ecology	4	0	0	4	0	3
1	70156	Hair cortisol levels in pregnancy as a possible determinant of fetal sex: a longitudinal study	2021	Article	JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE	Global	201	26	0	13	0	5
1	3145	Exploring the gender gap in the Spanish Wikipedia: Differences in engagement and editing practices	2021	Article	PLOS ONE	Global	101	8	0	80	1	5
1	60961	The Unbearable Lightness of Being Malnourished: Severe Acute Malnutrition Remains a Neglected Tropical Disease	2018	Editorial Material	JOURNAL OF TROPICAL PEDIATRICS	Global	84	0	0	118	0	2
1	70174	Effects of COVID-19 on the economy and mental health of young people in South Africa: opportunities for strengthening social protection programmes by integrating mental health	2021	Article	SOUTH AFRICAN JOURNAL OF PSYCHOLOGY	Global	81	11	0	1	0	3
1	3668	Suicidal Attempts and Stressful Life Events Among Women in a Homeless Situation in Madrid (Spain)	2019	Article	AMERICAN JOURNAL OF ORTHOPSYCHIATRY	Global	73	0	0	95	0	2
1	63687	Mycobacterium leprae diversity and population dynamics in medieval Europe from novel ancient genomes	2021	Article	BMC BIOLOGY	Global	54	1	0	69	1	39
1	4052	Augmented human development in the age of globalization(dagger)	2021	Article	ECONOMIC HISTORY REVIEW	Global	51	1	0	69	1	1
1	70175	The Political Debate on Basic Income and Welfare Reform in Spain	2019	Article	SOCIAL POLICY AND SOCIETY	Global	42	1	1	41	0	1
1	4273	Long run educational and spillover effects of unconditional cash transfers: Evidence from South Africa	2020	Article	ECONOMICS & HUMAN BIOLOGY	Global	41	3	1	19	0	2
1	28251	Novel health systems service design checklist to improve healthcare access for marginalised, underserved communities in Europe	2020	Article	BMJ OPEN	Global	39	0	0	70	0	7
1	61062	Guidance for Systematic Integration of Undernutrition in Attributing Cause of Death in Children	2021	Article	CLINICAL INFECTIOUS DISEASES	Immunology	6	0	0	0	0	8
1	70176	HIV screening and retention in care in people who use drugs in Madrid, Spain: a prospective study	2021	Article	INFECTIOUS DISEASES OF POVERTY	Immunology	5	0	0	10	0	10
1	46992	Air pollution and indoor settings	2021	Article	WORLD ALLERGY ORGANIZATION JOURNAL	Immunology	3	0	0	5	0	14
1	70177	Assessing Efficiency of Public Poverty Policies in UE-28 with Linguistic Variables and Fuzzy Correlation Measures	2021	Article	MATHEMATICS	Mathematics	5	0	0	7	0	3
1	63960	Financial Technology: Review of Trends, Approaches and Management	2020	Review	MATHEMATICS	Mathematics	4	0	0	6	0	4
1	70163	On measuring the sources of changes in poverty using the Shapley method. An application to Europe	2020	Article	FUZZY SETS AND SYSTEMS	Mathematics	1	0	0	3	0	2
1	70178	Inequality measurement with grouped data: Parametric and non-parametric methods	2021	Article	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY	Mathematics	1	0	0	3	0	3
1	61062	Guidance for Systematic Integration of Undernutrition in Attributing Cause of Death in Children	2021	Article	CLINICAL INFECTIOUS DISEASES	Microbiology	6	0	0	0	0	8
1	70176	HIV screening and retention in care in people who use drugs in Madrid, Spain: a prospective study	2021	Article	INFECTIOUS DISEASES OF POVERTY	Microbiology	5	0	0	10	0	10
1	9989	Food insecurity (hunger) and suicide attempts among 179,771 adolescents attending school from 9 high-income, 31 middle-income, and 4 low-income countries: A cross-sectional study	2019	Article	JOURNAL OF AFFECTIVE DISORDERS	Neuroscience & Behavior	12	0	0	21	0	7
1	70179	Laser evoked potentials in the evaluation of hypoesthetic patches in tuberculoid leprosy	2021	Letter	CLINICAL NEUROPHYSIOLOGY	Neuroscience & Behavior	2	0	0	2	0	5
1	70155	Drivers of sex ratio bias in the eastern bongo: lower inbreeding increases the probability of being born male	2019	Article	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Plant & Animal Science	7	0	0	16	0	3
1	65460	Nutritional status of Ugandan school-children: The effect of age imprecision	2019	Article	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	Plant & Animal Science	2	0	0	3	0	8
1	70174	Effects of COVID-19 on the economy and mental health of young people in South Africa: opportunities for strengthening social protection programmes by integrating mental health	2021	Article	SOUTH AFRICAN JOURNAL OF PSYCHOLOGY	Psychiatry/Psychology	81	11	0	1	0	3
1	3668	Suicidal Attempts and Stressful Life Events Among Women in a Homeless Situation in Madrid (Spain)	2019	Article	AMERICAN JOURNAL OF ORTHOPSYCHIATRY	Psychiatry/Psychology	73	0	0	95	0	2
1	70159	Global multidimensional poverty and COVID-19: A decade of progress at risk?	2021	Article	SOCIAL SCIENCE & MEDICINE	Psychiatry/Psychology	26	0	0	45	1	4
1	9360	Changing attitudes toward redistribution: The role of perceived economic inequality in everyday life and intolerance of inequality	2021	Article	JOURNAL OF SOCIAL PSYCHOLOGY	Psychiatry/Psychology	19	0	0	26	0	6
1	36579	Using Facebook for Improving the Psychological Well-Being of Individuals Experiencing Homelessness: Experimental and Longitudinal Study	2018	Article	JMIR MENTAL HEALTH	Psychiatry/Psychology	16	0	0	30	0	2
1	9989	Food insecurity (hunger) and suicide attempts among 179,771 adolescents attending school from 9 high-income, 31 middle-income, and 4 low-income countries: A cross-sectional study	2019	Article	JOURNAL OF AFFECTIVE DISORDERS	Psychiatry/Psychology	12	0	0	21	0	7
1	70180	Structure and agency in capabilities-enhancing homeless services: Housing first, housing quality and consumer choice	2021	Article	JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY	Psychiatry/Psychology	12	0	0	6	0	12
1	70181	\"Life Starts for Me Again.\" The Social Impact of Psychology on Programs for Homeless People: Solidarity Networks for the Effectiveness of Interventions	2020	Article	FRONTIERS IN PSYCHOLOGY	Psychiatry/Psychology	11	0	0	24	0	4
1	9361	The perception of economic inequality in everyday life: My friends with the most and least money	2021	Article	ASIAN JOURNAL OF SOCIAL PSYCHOLOGY	Psychiatry/Psychology	8	0	0	16	0	4
1	70182	Are you interested in economic inequality? Depends on where you live	2021	Article	ASIAN JOURNAL OF SOCIAL PSYCHOLOGY	Psychiatry/Psychology	7	0	0	12	0	2
1	3145	Exploring the gender gap in the Spanish Wikipedia: Differences in engagement and editing practices	2021	Article	PLOS ONE	Social Sciences, General	101	8	0	80	1	5
1	3668	Suicidal Attempts and Stressful Life Events Among Women in a Homeless Situation in Madrid (Spain)	2019	Article	AMERICAN JOURNAL OF ORTHOPSYCHIATRY	Social Sciences, General	73	0	0	95	0	2
1	4052	Augmented human development in the age of globalization(dagger)	2021	Article	ECONOMIC HISTORY REVIEW	Social Sciences, General	51	1	0	69	1	1
1	70175	The Political Debate on Basic Income and Welfare Reform in Spain	2019	Article	SOCIAL POLICY AND SOCIETY	Social Sciences, General	42	1	1	41	0	1
1	65368	Where are the missing girls? Gender discrimination in 19th-century Spain	2017	Article	EXPLORATIONS IN ECONOMIC HISTORY	Social Sciences, General	31	0	0	38	0	2
1	64391	Is Welfare Retrenchment Inevitable? Scope and Drivers of Healthcare Reforms in Five Spanish Regions During the Crisis	2018	Article	JOURNAL OF SOCIAL POLICY	Social Sciences, General	30	0	0	44	0	2
1	70183	What is the Minimum Budget for an Adequate Social Participation in Spain? An Estimate Through the Reference Budgets Approach	2018	Article	CHILD INDICATORS RESEARCH	Social Sciences, General	26	0	2	43	0	3
1	70161	Child health and the possibilities for childcare in a context of poverty and food insecurity: The narratives of parents attending a self-managed foodbank in Spain	2019	Article	HEALTH & SOCIAL CARE IN THE COMMUNITY	Social Sciences, General	24	1	0	25	0	5
1	64671	Neonatal discrimination and excess female mortality in childhood in Spain in the first half of the twentieth century	2021	Article	CLIOMETRICA	Social Sciences, General	21	1	0	2	0	1
1	44219	The Prevalence and Nature of Violence Against Women Experiencing Homelessness: A Quantitative Study	2021	Article	VIOLENCE AGAINST WOMEN	Social Sciences, General	20	0	0	23	0	6
2	1323	How biochar works, and when it doesn't: A review of mechanisms controlling soil and plant responses to biochar	2021	Review	GLOBAL CHANGE BIOLOGY BIOENERGY	Agricultural Sciences	269	24	0	135	4	17
2	1516	Adherence to the Mediterranean diet assessed by a novel dietary biomarker score and mortality in older adults: the InCHIANTI cohort study	2021	Article	BMC MEDICINE	Agricultural Sciences	241	30	0	60	0	10
2	1667	Exploring the concept of agroecological food systems in a city-region context	2018	Article	AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS	Agricultural Sciences	220	24	2	18	0	11
2	1707	The Effects of Vegetarian and Vegan Diet during Pregnancy on the Health of Mothers and Offspring	2019	Review	NUTRIENTS	Agricultural Sciences	215	21	5	127	4	10
2	1832	Climate change responses benefit from a global food system approach	2020	Editorial Material	NATURE FOOD	Agricultural Sciences	202	9	8	176	0	14
2	1885	Food systems for sustainable development: proposals for a profound four-part transformation	2018	Review	AGRONOMY FOR SUSTAINABLE DEVELOPMENT	Agricultural Sciences	197	7	12	213	2	27
2	2369	Crop cover is more important than rotational diversity for soil multifunctionality and cereal yields in European cropping systems	2021	Article	NATURE FOOD	Agricultural Sciences	155	5	0	214	0	16
2	2451	Using cover crops to mitigate and adapt to climate change. A review	2017	Review	AGRONOMY FOR SUSTAINABLE DEVELOPMENT	Agricultural Sciences	148	16	0	15	0	2
2	2471	Short- and long-term warming effects of methane may affect the cost-effectiveness of mitigation policies and benefits of low-meat diets	2021	Article	NATURE FOOD	Agricultural Sciences	147	13	0	62	1	15
2	2664	Vegan Nutrition for Mothers and Children: Practical Tools for Healthcare Providers	2019	Article	NUTRIENTS	Agricultural Sciences	133	6	0	100	2	11
2	4354	Scholar-activists in an expanding European food sovereignty movement*	2019	Article	JOURNAL OF PEASANT STUDIES	Arts & Humanities	36	0	0	56	0	7
2	70184	Hunting, herding, and people in the rock art of Mongolia: New discoveries in the Gobi-Altai Mountains	2021	Article	ARCHAEOLOGICAL RESEARCH IN ASIA	Arts & Humanities	22	0	0	40	0	9
2	64067	Sacred Trees, Mystic Caves, Holy Wells: Devotional Titles in Spanish Rural Sanctuaries	2021	Article	RELIGIONS	Arts & Humanities	22	0	0	40	0	1
2	70185	Food sovereignty and new peasantries: on re-peasantization and counter-hegemonic contestations in the Basque territory	2017	Article	JOURNAL OF PEASANT STUDIES	Arts & Humanities	9	0	0	13	0	1
2	63591	Cultural heritage and sea level rise threat: risk assessment of coastal fortifications in the Canary Islands	2020	Article	JOURNAL OF CULTURAL HERITAGE	Arts & Humanities	8	1	0	0	0	3
2	70186	Molecular features of organic matter in anthropogenic earthen mounds, canals and lagoons in the Pago Lindo archaeological complex (Tacuarembo, Uruguayan lowlands) are controlled by pedogenetic processes and fire practices	2019	Article	JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS	Arts & Humanities	8	0	2	6	0	5
2	70187	Climatic change and diet of the pre-Hispanic population of Gran Canaria (Canary Archipelago, Spain) during the Medieval Warm Period and Little Ice Age	2021	Article	JOURNAL OF ARCHAEOLOGICAL SCIENCE	Arts & Humanities	6	0	0	5	1	13
2	70188	Rosario de Acuna: a feminist genealogy of animalism in nineteenth-century literature	2020	Article	HISTORIA Y COMUNICACION SOCIAL	Arts & Humanities	5	0	0	7	0	1
2	70189	Heritage and rural gentrification in Spain: the case of Santiago Millas	2017	Article	INTERNATIONAL JOURNAL OF HERITAGE STUDIES	Arts & Humanities	4	0	0	0	2	1
2	56724	Participatory injustice in Mexico's Readiness process to Reduce Emissions from Deforestation and forest Degradation (REDD plus )	2021	Article	HUMAN ECOLOGY	Arts & Humanities	4	0	0	5	0	5
2	867	Intact but empty forests? Patterns of hunting-induced mammal defaunation in the tropics	2019	Article	PLOS BIOLOGY	Biology & Biochemistry	404	23	0	424	1	5
2	63396	Nature-Based Solutions for Urban Climate Change Adaptation: Linking Science, Policy, and Practice Communities for Evidence-Based Decision-Making	2019	Article	BIOSCIENCE	Biology & Biochemistry	113	5	3	136	0	12
2	70190	Regulations are needed to protect freshwater ecosystems from salinization	2019	Article	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Biology & Biochemistry	98	7	0	32	1	6
2	59758	Crop Diversity Management: Sereer Smallholders' Response to Climatic Variability in Senegal	2021	Article	JOURNAL OF ETHNOBIOLOGY	Biology & Biochemistry	80	9	0	2	0	6
2	59729	New law puts Bolivian biodiversity hotspot on road to deforestation	2018	Letter	CURRENT BIOLOGY	Biology & Biochemistry	78	5	0	105	0	7
2	37248	Identification of Molecular Integrators Shows that Nitrogen Actively Controls the Phosphate Starvation Response in Plants	2019	Article	PLANT CELL	Biology & Biochemistry	75	0	0	176	0	13
2	63397	Progress toward Equitably Managed Protected Areas in Aichi Target 11: A Global Survey	2019	Article	BIOSCIENCE	Biology & Biochemistry	52	0	0	99	0	9
2	23933	Biocrusts buffer against the accumulation of soil metallic nutrients induced by warming and rainfall reduction	2020	Article	COMMUNICATIONS BIOLOGY	Biology & Biochemistry	42	3	0	26	0	10
2	34529	Effect of exercise on myosteatosis in adults: a systematic review and meta-analysis	2021	Review	JOURNAL OF APPLIED PHYSIOLOGY	Biology & Biochemistry	24	0	0	58	0	4
2	70191	Climatic vulnerabilities and ecological preferences of soil invertebrates across biomes	2019	Article	MOLECULAR ECOLOGY	Biology & Biochemistry	22	0	0	46	0	13
2	66295	Production of n-3-rich insects by bioaccumulation of fishery waste	2019	Article	JOURNAL OF FOOD COMPOSITION AND ANALYSIS	Chemistry	29	4	0	0	0	7
2	70192	The diversity of methoxyphenols released by pyrolysis-gas chromatography as predictor of soil carbon storage	2017	Article	JOURNAL OF CHROMATOGRAPHY A	Chemistry	18	2	0	5	0	5
2	70193	Life cycle assessment of animal-based foods and plant-based protein-rich alternatives: an environmental perspective	2021	Article	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	Chemistry	16	1	0	9	0	8
2	63591	Cultural heritage and sea level rise threat: risk assessment of coastal fortifications in the Canary Islands	2020	Article	JOURNAL OF CULTURAL HERITAGE	Chemistry	8	1	0	0	0	3
2	70194	Increase in phenolic compounds of Coriandrum sativum L. after the application of a Bacillus halotolerans biofertilizer	2020	Article	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	Chemistry	7	0	0	10	0	5
2	70195	Improving Flavonoid Metabolism in Blackberry Leaves and Plant Fitness by Using the Bioeffector Pseudomonas fluorescens N 21.4 and Its Metabolic Elicitors: A Biotechnological Approach for a More Sustainable Crop	2020	Article	JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY	Chemistry	5	0	0	10	0	5
2	47239	Biochars from Mediterranean Agroindustry Residues: Physicochemical Properties Relevant for C Sequestration and Soil Water Retention	2019	Article	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	Chemistry	4	0	1	0	0	4
2	44081	Review of the Methodologies for Measurement of Greenhouse Gas Emissions in Livestock Farming: Pig Farms as a Case of Study	2020	Review	CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY	Chemistry	4	0	0	6	0	5
2	70196	Metabolomic analysis of the effects of a commercial complex biostimulant on pepper crops	2020	Article	FOOD CHEMISTRY	Chemistry	3	0	0	5	0	7
2	70197	Proximal Optical Sensors for Nitrogen Management of Vegetable Crops: A Review	2018	Review	SENSORS	Chemistry	2	0	0	3	0	5
2	93	Effect of Exercise Intervention on Functional Decline in Very Elderly Patients During Acute Hospitalization A Randomized Clinical Trial	2019	Article	JAMA INTERNAL MEDICINE	Clinical Medicine	1686	19	0	3212	0	14
2	563	Measuring population ageing: an analysis of the Global Burden of Disease Study 2017	2019	Article	LANCET PUBLIC HEALTH	Clinical Medicine	582	45	0	389	0	5
2	660	Early detection of accelerated aging and cellular decline (AACD): A consensus statement	2021	Article	EXPERIMENTAL GERONTOLOGY	Clinical Medicine	518	12	0	758	0	7
2	34381	Resistance Training for Older Adults: Position Statement From the National Strength and Conditioning Association	2019	Article	JOURNAL OF STRENGTH AND CONDITIONING RESEARCH	Clinical Medicine	440	25	0	427	0	7
2	21988	Skeletal muscle mass in relation to 10 year cardiovascular disease incidence among middle aged and older adults: the ATTICA study	2020	Article	JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	Clinical Medicine	405	47	0	137	0	7
2	35937	Muscular Strength as a Predictor of All-Cause Mortality in an Apparently Healthy Population: A Systematic Review and Meta-Analysis of Data From Approximately 2 Million Men and Women	2018	Review	ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION	Clinical Medicine	295	6	0	496	0	7
2	36654	Risk of maternal mortality in women with severe anaemia during pregnancy and post partum: a multilevel analysis	2018	Article	LANCET GLOBAL HEALTH	Clinical Medicine	273	24	9	157	0	14
2	70198	Prioritized Research for the Prevention, Treatment, and Reversal of Chronic Disease: Recommendations From the Lifestyle Medicine Research Summit	2020	Review	FRONTIERS IN MEDICINE	Clinical Medicine	264	29	0	34	0	29
2	70199	Adenosine/A2B Receptor Signaling Ameliorates the Effects of Aging and Counteracts Obesity	2020	Article	CELL METABOLISM	Clinical Medicine	162	16	0	69	1	31
2	28506	Prevalence and Prognostic Significance of Malnutrition in Patients With Acute Coronary Syndrome	2020	Article	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	Clinical Medicine	153	24	0	112	0	11
2	4432	SAT: A Software for Assessing the Risk of Desertification in Spain	2020	Article	SCIENTIFIC PROGRAMMING	Computer Science	28	0	0	37	0	4
2	31755	User perspectives in the design of interactive everyday objects for sustainable behaviour	2020	Article	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES	Computer Science	15	0	0	45	0	5
2	70200	Analysis of land use/land cover spatio-temporal metrics and population dynamics for urban growth characterization	2019	Article	COMPUTERS ENVIRONMENT AND URBAN SYSTEMS	Computer Science	11	0	0	15	0	2
2	70201	Identifying urban growth patterns through land-use/land-cover spatio-temporal metrics: Simulation and analysis	2020	Article	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE	Computer Science	11	0	0	19	0	2
2	70202	Estimating quality of life dimensions from urban spatial pattern metrics	2021	Article	COMPUTERS ENVIRONMENT AND URBAN SYSTEMS	Computer Science	10	0	0	15	0	5
2	31890	Addressing Behavioural Technologies Through the Human Factor: A Review	2020	Review	IEEE ACCESS	Computer Science	9	0	0	15	0	6
2	70203	Analyzing Links between Spatio-Temporal Metrics of Built-Up Areas and Socio-Economic Indicators on a Semi-Global Scale	2020	Article	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION	Computer Science	8	0	0	12	0	3
2	70204	Generating and Mapping Amazonian Urban Regions Using a Geospatial Approach	2020	Article	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION	Computer Science	7	0	0	7	0	5
2	70205	Mapping tillage direction and contour farming by object-based analysis of UAV images	2021	Article	COMPUTERS AND ELECTRONICS IN AGRICULTURE	Computer Science	6	0	0	6	0	5
2	31788	A Human-Centric & Context-Aware IoT Framework for Enhancing Energy Efficiency in Buildings of Public Use	2018	Article	IEEE ACCESS	Computer Science	4	0	0	6	0	11
2	862	Prevalence, economic contribution, and determinants of trees on farms across Sub-Saharan Africa	2017	Article	FOREST POLICY AND ECONOMICS	Economics & Business	406	271	1	18	0	3
